last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Nimmo, Brandon,607043,2023,405,256,0.266,0.258,0.008000000000000007,0.442,0.438,0.0040000000000000036,0.353,0.353,0
Lindor, Francisco,596019,2023,391,264,0.236,0.25,-0.014000000000000012,0.472,0.481,-0.009000000000000008,0.338,0.353,-0.014999999999999958
McNeil, Jeff,643446,2023,365,283,0.251,0.246,0.0050000000000000044,0.325,0.33,-0.0050000000000000044,0.296,0.297,-0.0010000000000000009
Alonso, Pete,624413,2023,352,232,0.208,0.255,-0.047000000000000014,0.492,0.538,-0.04600000000000004,0.344,0.38,-0.03600000000000003
Marte, Starling,516782,2023,329,242,0.254,0.27,-0.016000000000000014,0.333,0.416,-0.08299999999999996,0.286,0.324,-0.038000000000000034
Canha, Mark,592192,2023,258,179,0.242,0.24,0.0020000000000000018,0.397,0.388,0.009000000000000008,0.326,0.328,-0.0020000000000000018
Pham, Tommy,502054,2023,238,161,0.271,0.298,-0.02699999999999997,0.476,0.523,-0.04700000000000004,0.351,0.388,-0.03700000000000003
Baty, Brett,683146,2023,237,149,0.242,0.249,-0.007000000000000006,0.351,0.386,-0.03500000000000003,0.295,0.315,-0.020000000000000018
Alvarez, Francisco,682626,2023,230,155,0.235,0.207,0.027999999999999997,0.507,0.421,0.08600000000000002,0.339,0.297,0.04200000000000004
Vogelbach, Daniel,596129,2023,197,120,0.225,0.217,0.008000000000000007,0.355,0.345,0.010000000000000009,0.309,0.303,0.006000000000000005
Guillorme, Luis,641645,2023,103,68,0.25,0.205,0.04500000000000001,0.359,0.275,0.08399999999999996,0.3,0.251,0.04899999999999999
Nido, Tomás,621512,2023,61,41,0.125,0.165,-0.04000000000000001,0.125,0.209,-0.08399999999999999,0.129,0.179,-0.04999999999999999
Vientos, Mark,668901,2023,49,32,0.178,0.275,-0.09700000000000003,0.244,0.478,-0.23399999999999999,0.21,0.36,-0.15
Narváez, Omar,553882,2023,45,34,0.184,0.229,-0.04500000000000001,0.184,0.305,-0.121,0.215,0.276,-0.061000000000000026